"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	1	0	0	0	0	13	0			0	0	124	0	0	0											0	0	0	0			0	0	3	0	76	0			0	0	0	0	0	0	0	0				39	5	9	4	
242	0	0	0	0	0	0	0	0	5	0			0	0	4	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	4	5	
279	0	0	0	0	0	0	0	0	23	16			0	0	25	0	0	0											0	0	0	0			0	0	0	0	0	0			10	0	0	0	0	0	0	0				9	2	6	5	
354	0	0	0	0	0	0	0	0	12	0			0	2	27	0	0	0						0				0	0	0	0	0			0	0	0	0	15	0			0	0	0	0	0	0	0	1				4	5	8	4	
457	0	0	0	0	0	0	0	0	33	4			0	0	96	92	0	0						0				0	0	0	0	0			0	0	18	0	0	0			0	0	0	0	0	0	0	0				4	3	0	8	
505	0	0	0	0	0	0	0	0	145	20		0	0	1	1520	776	0	4		0	0		0	0	0		0	0	0	0	0	0			0	0	80	0	404	1			0	0	0	0	0	0	253	0	0	0		69	43	13	1	
1155	0	0	0	0	0	0	0	0	35	3			0	3	503	209	0	61						0				0	0	0	0	0			5	0	0	0	17	0			0	0	0	0	204	5	0	18				0	0	7	6	
1351	0	0	0	0	0	0	0	0	65	23			0	7	469	349	0	92						3				5	0	0	0	0			0	0	3	0	8	0	0		0	0	0	0	0	0	0	0				20	32	0	0	
1454	0	0	0	0	0	0	0	0	46	27		0	0	6	704	18	0	13		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	653	0	0	0	0	0		0	1	20	12	
