"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
	INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	GOODWILL	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	Cost of equity securities with readi	All other intangible asset	ASSET SHR FDIC ALL OTHR	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	ALL OTHR RE OWNED IN FOREIGN OFFICES	ASSET LS SHR FDIC OTHR RE FRGN	INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	GOODWILL	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	Cost of equity securities with readi	All other intangible asset	ASSET SHR FDIC LN CNST DEV 1-4 FAM	ASSET SHR FDIC LN CNST DEV OTHR CNST	ASSET SHR FDIC LN SCD FARM	ASSET SHR FDIC LN SCD FAM OPEN SCD F	ASSET SHR FDIC LN SCD FAM CLS SCD 1S	ASSET SHR FDIC LN SCD 1-4 FAM CLS SC	ASSET SHR FDIC LN SCD MULTI RES	ASSET SHR FDIC LN SCD NFARM NRES OWN	ASSET SHR FDIC LN SCD NFARM NRES NFA	ASSET SHR FDIC ALL OTHR	ASSET SHR FDIC OTHR RE CNST DEV	ASSET SHR FDIC OTHR RE FARM	ASSET SHR FDIC OTHR RE 1-4 FAM	ASSET SHR FDIC OTHR RE MULTI RES	ASSET LS SHR FDIC OTHR RE NFARM NRES	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	INST USE HOLA QTL OR IRS DBLA	INST COMPLY W HOLA QLT OR IRS DBLA	RMT TRSFR MECH ABRD RPT DT INTL WIRE	RMT TRSFR MECH ABRD RPT DT INTL ACH	RMT TRSFR MECH ABRD RPT DT OTR INST	RMT TRSFR MECH ABRD RPT DT OTR PRTY	MECH16A(2) LRGST NUM DEC312013 AFTR	MECH16A(2) LRGST NUM DEC312013 AFTR	EST NUMBER OF REMITTANCE TRANSFERS	EST DOLLAR OF REMITTANCE TRANSFERS	EST NM RMT TRNS INST APPLD TMP EXCPT	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URL	
37																																		0	0	0	0	0	0		0	0	0	0	0	46	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																																															
242																																		0	0	380	0	0	4600		0	0	0	0	0	230	0	0			0	380	1557	500	2163	0	0	0	0	0	0	0						0																																															
279																																		776	209	5253	0	15	35563		209	0	0	0	0	4659	3	15			0	5253	2622	18198	9490	0	0	0	0	0	0	0						761																																															
354																																		0	0	0	0	0	0		0	0	0	0	0	244	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																																															
457																																		0	86	1500	0	0	10000		55	0	0	0	31	1817	2	0			0	1500	4000	4000	500	0	0	0	0	0	0	0					0	0																																															
505																																		1709	0	10000	1594	115	15880		0	0	0	0	0	7858	1	115			0	10000	5880	0	0	0	0	0	0	0	0	0						0																																															
1155																																		0	605	0	0	0	0		605	0	0	0	0	8458	4	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																														www.firststatebankcobanking.com																www.fsbtfremont.bank	
1351																																		0	241	0	0	0	0		0	0	152	0	89	2615	2	0			0	0	0	0	0	0	0	0	0	0	0	0						0																																														www.bankofgrandin.net	
1454																																		0	0	0	0	0	0		0	0	0	0	0	22626	9	0			0	0	0	0	0	0	0	0	0	0	0	0						0																																														www.hilltop.bank	
