"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
37																												
242																												
279																												
354																												
457																												
505																												
1155																												
1351																												
1454		356	402	37	256	0	0																			473	37	
1557																												
1669																												
1829																												
1856																												
2040																												
2161																												
2376																												
2554																												
2732																												
2750																												
3252																												
3458																												
3720																												
3953																												
4156																												
4231																												
4437																												
4839																												
5005																												
5069																												
5135																												
5210																												
5331																												
5461																												
5751																												
6039																												
6141																												
6329																												
6972		941	6	1	162	5	0																			388	82	
7009		18067	324	205	0	339	18840																			2079	46	
7045																												
7157																												
7456																												
7634																												
8033																												
8462																												
8631																												
9357																												
9553																												
9807		54	15	0	24	2	4																			0	8	
9955																												
10250																												
10849																												
10858																												
11145																												
11640																												
11837																												
12030																												
12142																												
12245																												
12311		19552	5355	1675	3926	11903	274		0																	13453	2610	
12647																												
12656																												
12937																												
12946																												
12955																												
13103																												
13251																												
13457																												
14052																												
14155																												
14650																												
14753																												
14865																												
14977																												
16458																												
16551																												
16748																												
16944																												
16953																												
17110		1640	502	0	1617	0	126																			9108	0	
17147		2994	942	94	531	65	0																			823	252	
17259																												
17464																												
17950																												
18050																												
18135																												
18377																												
18827																												
18836																												
18854																												
18957																												
19356																												
19730		463	17	0	122	1	474																			139	0	
19936																												
19972																												
20053																												
20512																												
20633																												
20857																												
21256																												
21359																												
21630																												
21658																												
22048																												
22356																												
22543																												
22552																												
22730																												
22936																												
22954																												
23045		144	0	0	0	0	0																			0	0	
23456																												
23504																												
23540																												
23643																												
23755																												
24006																												
24453																												
24659																												
24668																												
24855																												
24949																												
25357																												
25647																												
26242																												
26457																												
26765																												
26859																												
27548																												
27614																												
27847																												
28152																												
28255																												
28349																												
28406																												
28572																												
28732																												
29104																												
29636																												
29953																												
30052																												
30258																												
30418																												
30502																												
30650																												
30810																												
31134																												
31255																												
31657																												
31826																												
31835																												
32234																												
32766																												
33147																												
33259																												
33268																												
33754																												
33839																												
33857																												
34153																												
34359																												
34425																												
34434																												
34452																												
34537																												
34555																												
34742																												
34836																												
35057																												
35301		1180	101484	221180	94316	2423034	321872		1025621																	71864	9686	
35570																												
35646																												
35842																												
36054																												
36344																												
36456																												
36858																												
36933																												
37051																												
37341																												
37378																												
37435																												
37640																												
37659																												
37743																												
37949																												
38535																												
38740																												
39327																												
39420																												
39475																												
39756																												
40033																												
40350																												
40707																												
40855																												
41245																												
41553																												
41629																												
41759																												
41825																												
41937																												
41955																												
42037																												
42055																												
42354																												
42420		2463	495	117	836	113	723																			0	179	
42448																												
42457																												
43052																												
43351																												
43454																												
43744																												
43856																												
43959																												
44040																												
44433																												
44741																												
44750																												
44929																												
45038																												
45047																												
45056																												
45430																												
45458																												
45551																												
45560		1356	0	75	114	149	0																			0	137	
45775																												
46053																												
46941																												
47153																												
47247																												
47256																												
47452																												
47500																												
48057																												
48150																												
48374																												
48440																												
49054																												
49148																												
49241																												
49344																												
49643																												
49652																												
49821		1392	34	0	260	42	127																			419	0	
49858																												
49951																												
50144																												
50461																												
50546																												
50854																												
50957																												
51253																												
51356																												
51459																												
51730																												
51842																												
52410																												
52719	58749	0	0	0	0	298144	0																		239395	0	0	
52951																												
53033																												
53051																												
53239																												
53453																												
53752																												
54049																												
54058																												
54375																												
54441																												
54656																												
55176																												
55336																												
55635																												
55653																												
56258																												
56351		853	62	0	46	25	1																			488	96	
56427																												
56548																												
56557																												
56717																												
57040																												
57228																												
57255																												
57451																												
57572																												
57956																												
58074																												
58207																												
58225																												
58243		1708	3291	23	3034	280	0		0																	3981	176	
58355																												
58551																												
58636																												
58757																												
58971		3349	429	0	548	477	0																			1924	555	
59316																												
59352																												
59679																												
59754																												
60143		33230	1592	4056	5720	17804	2364		1816																	19267	1241	
60330																												
60433																												
60545																												
60554																												
60648																												
61122		1237	164	284	571	0	69																			852	60	
61355																												
61476																												
61757																												
61832		973	4	0	217	24	27																			750	0	
61953																												
62044																												
62110		1864	0	0	0	0	0																			2184	588	
62147																												
63050																												
63069		9964	10005	1417	2301	2413	92		0																	6078	464	
63078																												
63201																												
63359																												
63573																												
63733																												
63742																												
63751																												
64150																												
64543																												
64552																												
64619																												
64730																												
65205																												
65241																												
65513		2236	3	0	0	90	5183		0																	0	0	
65559																												
65746																												
65858		301	161	0	136	79	9																			546	34	
66015																												
66154																												
66172																												
66275																												
66837																												
67142																												
67151																												
67209																												
67254																												
67311		5737	2303	513	1380	481	1304																			4481	364	
68345																												
68448																												
68756																												
68831																												
68840																												
68859																												
68943																												
69333																												
69678		1839	427	0	421	13	0																			1217	0	
69847																												
70049																												
70058																												
70218																												
70414																												
70638																												
70955																												
71318																												
71457																												
71859																												
72258																												
72351																												
72454																												
72678																												
73031																												
73116																												
73152																												
73554																												
73956																												
74056																												
74140																												
74159																												
74403																												
74449																												
74458																												
75053																												
75259																												
75446																												
75455																												
75558																												
75633		38616	947	86	9552	2412	1270		0																	37712	1782	
75651																												
76135																												
76153																												
76443																												
76854																												
77150																												
77253																												
77422																												
77758																												
77851		258	527	0	216	10	285																			365	130	
78036																												
78157																												
78241																												
78559																												
78858																												
79042																												
79127																												
79145																												
79257																												
79855																												
80020																												
80150																												
80431																												
80552																												
80936																												
81429																												
82033																												
82257																												
82350																												
82659																												
83151																												
83236																												
83375																												
83638		960	0	0	0	0	345		0																	0	0	
83834																												
83852																												
83955																												
84046																												
84055																												
84251																												
84541																												
84804																												
85052																												
85258																												
85454																												
85931																												
86349																												
86358																												
86527																												
86554																												
87047																												
87159																												
87234																												
87476																												
88240																												
88259																												
88352																												
88455																												
88530																												
88950																												
89032																												
89135																												
89751																												
89854																												
89957																												
90047																												
90328																												
90337																												
90645																												
90739																												
91156																												
91259																												
91615																												
91651																												
91754																												
91950																												
92050																												
92144																												
92706																												
92854																												
92902																												
93244																												
93413																												
93543																												
93619		0	755	1558	5178	2564	194																			0	0	
93721		833	451	3	119	53	314																			1066	155	
93758																												
94139																												
94456																												
94522																												
94755																												
94858																												
95051																												
95659																												
96553																												
97055																												
97279																												
97457																												
97804																												
97943																												
98351																												
98454																												
98463																												
98548																												
98641																												
98717																												
99059																												
99143																												
99255																												
99442																												
99536																												
99853																												
99974																												
100236																												
100357																												
100553																												
100562																												
100843																												
101019																												
101037																												
101345																												
101439																												
101671																												
101738																												
101952																												
102155																												
102333																												
102342																												
102539																												
102557																												
103134																												
103255		573	159	0	205	114	0																			557	94	
103563																												
103602																												
104056																												
104234																												
104430																												
104542																												
105026																												
105053																												
105071																												
105222																												
105530																												
105633																												
106359																												
106377																												
106452																												
106519																												
106546																												
106658																												
107057																												
107226																												
107244		890	211	0	3	117	0																			290	0	
107431																												
107459																												
107758																												
108269																												
108652																												
108746																												
108951																												
109136																												
109154																												
109453																												
109574																												
109659																												
110413																												
110655																												
110936																												
110945																												
111157																												
111205																												
111661																												
111942																												
111979																												
112163																												
112332																												
112444																												
112510																												
112556																												
112837		6189	1655	379	277	3056	375		0																	4368	1606	
113003																												
113030																												
113441																												
113601																												
113740																												
113937																												
114149																												
114158																												
114251																												
114260																												
114457																												
114756																												
114774																												
114840																												
114859																												
115100																												
115146																												
115155																												
115221																												
115575																												
115641		262	338	28	231	27	0																			123	40	
116077																												
116358																												
116554																												
116639																												
116732																												
116741																												
117038																												
117458																												
117672																												
117775																												
118156																												
118174																												
118660																												
118736																												
119153																												
119274																												
119528																												
119779																												
120542																												
120609																												
120953																												
121642		111	739	51	412	8	0																			475	67	
121651																												
121914																												
122153																												
122546																												
122751																												
122854																												
123440																												
123646		321	144	20	65	88	0																			169	18	
124344																												
124353																												
124830																												
125154																												
125855																												
125958																												
126012																												
126049																												
126254																												
126553		483	262	18	296	32	0																			282	91	
126740																												
126834																												
127055																												
127224																												
127701																												
128258																												
