"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1583	RCFD1594	RCFD1597	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDF166	RCFDF167	RCFDF168	RCFDF169	RCFDF170	RCFDF171	RCFDF664	RCFDF665	RCFDF666	RCFDF667	RCFDF668	RCFDF669	RCFDK036	RCFDK037	RCFDK038	RCFDK039	RCFDK040	RCFDK041	RCFDK042	RCFDK043	RCFDK044	RCFDK072	RCFDK073	RCFDK074	RCFDK075	RCFDK076	RCFDK077	RCFDK078	RCFDK079	RCFDK080	RCFDK081	RCFDK082	RCFDK083	RCFDK084	RCFDK085	RCFDK086	RCFDK087	RCFDK088	RCFDK089	RCFDK091	RCFDK092	RCFDK093	RCFDK095	RCFDK096	RCFDK097	RCFDK099	RCFDK100	RCFDK101	RCFDK102	RCFDK103	RCFDK104	RCFDK120	RCFDK121	RCFDK122	RCFDK123	RCFDK124	RCFDK125	RCFDK126	RCFDK127	RCFDK128	RCFDK134	RCFDK135	RCFDK136	RCFDK138	RCFDK139	RCFDK140	RCFDK213	RCFDK214	RCFDK215	RCFDK216	RCFDK217	RCFDK218	RCFDK269	RCFDK271	RCFDK272	RCFDK274	RCFDK275	RCFDK276	RCFDK277	RCFDK278	RCFDK279	RCFDK280	RCFDK281	RCFDK282	RCFDK283	RCFDK284	RCFDK285	RCFDK286	RCFDK287	RCFDK288	RCFDL183	RCFDL184	RCFDL185	RCFDL186	RCFDL187	RCFDL188	RCFNB572	RCFNB573	RCFNB574	RCFNK291	RCFNK292	RCFNK293	RCFNK294	RCFNK295	RCFNK296	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONF166	RCONF167	RCONF168	RCONF172	RCONF173	RCONF174	RCONF175	RCONF176	RCONF177	RCONF178	RCONF179	RCONF180	RCONF181	RCONF182	RCONF183	RCONF661	RCONF662	RCONF663	RCONF664	RCONF665	RCONF666	RCONF667	RCONF668	RCONF669	RCONK036	RCONK037	RCONK038	RCONK039	RCONK040	RCONK041	RCONK042	RCONK043	RCONK044	RCONK045	RCONK046	RCONK047	RCONK048	
	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO US ADDRS,PAS DU 30-89 DYS	C&I LNS TO US ADDRS,PAS DU 90 DYS OR	C&I LNS TO US ADDRS,NONACCRUAL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO US BKS,ETC.-PAST DU 30-89 DYS	LNS TO US BKS,ETC.-PAST DU 90 DYS OR	LNS TO US BKS,ETC.-NONACCRUAL	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	LOANS & LEASES HLD FOR SALE-NONACCRL	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	ADDITIONS TO NONACCRUAL ASSETS	N/ACCRUAL ASSETS SOLD DURING QUARTER	LSE INDVDL FOR HSHLD, FMLY, PRSNL 30	LSE INDVDL FOR HSHLD, FMLY, PRSNL > 	LSE INDVDL FOR HSHLD, FMLY, PRSNL NA	ALL OTHR LEASE PAST DUE 30-89 DAYS	ALL OTHR LEASE PAST DUE > 90 DAYS	ALL OTHR LEASE NONACCRUAL	FR VLU LN HLD FOR SALE PD 30 - 89	FR VLU LN HLD FOR SALE PD 90	FR VLU LN HLD FOR SALE NONACCRUAL	UNPD BAL LN HLD FOR SALE PD 30 - 89	UNPD BAL LN HLD FOR SALE PD 90	UNPD BAL LN HLD FOR SALE NONACCRUAL	LN GUAR US , EXCLUD FDIC PD 30 - 89	LN GUAR US , EXCLUD FDIC PD 90	LN GUAR US , EXCLUD FDIC NACRL	GUAR LN EXCL REBOOK GNMA LN PD 30 - 	GUAR LN EXCL REBOOK GNMA LN PD 90	GUAR LN EXCL REBOOK GNMA LN NACRL	REBOOK GNMA LN REPURCH PD 30 - 89	REBOOK GNMA LN REPURCH PD 90	REBOOK GNMA LN REPURCH NACRL	LS SHR FDIC LN AGRI PD 30 - 89	LS SHR FDIC LN AGRI PD 90	LS SHR FDIC LN AGRI NACRL	LS SHR FDIC CMRL IND LN - PD 30 - 89	LS SHR FDIC CMRL IND LN - PD 90	LS SHR FDIC CMRL IND LN - NACRL	LS SHR FDIC LN IND CR CD PD 30-89	LS SHR FDIC LN IND CR CD PD 90	LS SHR FDIC LN IND CR CD NACRL	LS SHR FDIC LN IND AUTO LN PD 30 - 8	LS SHR FDIC LN IND AUTO LN PD 90	LS SHR FDIC LN IND AUTO LN NACRL	LS SHR FDIC LN IND OTHR PD 30 - 89	LS SHR FDIC LN IND OTHR PD 90	LS SHR FDIC LN IND OTHR NACRL	LS SHR FDIC ALL OTHR LN LEASE PD 30 	LS SHR FDIC ALL OTHR LN LEASE PD 90	LS SHR FDIC ALL OTHR LN LEASE NACRL	ITEMIZE LN DI ACPTNCE OTHR BK 30 - 8	ITEMIZE LN DI ACPTNCE OTHR 90	ITEMIZE LN DI ACPTNCE OTHR NACRL	ITEMIZE LN FRGN GVT OFFICIAL PD 30 -	ITEMIZE LN FRGN GVT OFFICIAL PD 90	ITEMIZE LN FRGN GVT OFFICIAL NACRL	ITEMIZE OTHER LOANS PD 30 - 89	ITEMIZE OTHER LOANS PD 90	ITEMIZE OTHER LOANS NACRL	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	LN RSTR CMRL IND LN US ADR PD 30 - 8	LN RSTR CMRL IND LN US ADR PD 90	LN RSTR CMRL IND LN US ADR NACRL	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN DI ACCEPT PD 30 - 89	ITEMIZE LN DI ACCEPT PD 90	ITEMIZE LN DI ACCEPT NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	ITEMIZE LEASE FIN RCVBL PD 30 - 89	ITEMIZE LEASE FIN RCVBL PD 90	ITEMIZE LEASE FIN RCVBL NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	ITEMIZE LN FRGN GVT OFFICIAL PD 30 -	ITEMIZE LN FRGN GVT OFFICIAL PD 90	ITEMIZE LN FRGN GVT OFFICIAL NACRL	ITEMIZE OTHR LN PD 30 - 89	ITEMIZE OTHR LN PD 90	ITEMIZE OTHR LN NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	PAST DUE (30-89DA): LOANS FGN OFFICE	PAST DUE (>=90DAY): LOANS FGN OFFICE	PAST DUE (NONACCR): LOANS FGN OFFICE	ITEMIZE LN SDC RE FRGN PD 30 - 89	ITEMIZE LN SDC RE FRGN PD 90	ITEMIZE LN SDC RE FRGN NACRL	ITEMIZE RSTRCT SDC RE FRGN PD 30 - 8	ITEMIZE RSTRCT SDC RE FRGN PD 90	ITEMIZE RSTRCT SDC RE FRGN NACRL	P/D(30-89DA):LEASE FIN REC - DERIVED	P/D(>=90DAY):LEASE FIN REC - DERIVED	P/D(NONACCR):LEASE FIN REC - DERIVED	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	PAST DUE (30-89 DAYS): C&I LOANS	PAST DUE (>=90 DAYS): C&I LOANS	PAST DUE (NONACCRUAL):C&I LOANS	LNS SECD BY FARMLAND-PAST DUE 30-89	LNS SECD BY FARMLAND-PAST DUE 90DYS	LNS SECD BY FARMLAND-NONACCRUAL	LNS SECD BY MULTIFAMILY-PST DU 30-89	LNS SECD BY MULTIFAMILY-PST DU 90DYS	LNS SECD BY MULTIFAMILY-NONACCRUAL	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	RVLVG,OPEN-END LNS-PAST DU 30-89 DYS	RVLVG,OPEN-END LNS-PAST DU 90 DYS OR	RVLVG,OPEN-END LNS-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	P/D(30-89DA):LOANS TO DI'S - DERIVED	PD GE 90 DAY LN TO DI DERIVED	P/D(NONACCR):LOANS TO DI - DERIVED	LOANS & LEASES HLD FOR SALE-NONACCRL	CLSD-END LNS:SCRD 1ST LIENS-NONACCRL	CLSD-ED LNS:SCRD JR LIENS-NONACCRUAL	CLSD-ED LNS:SEC 1 LIENS PA DU 30-89	CLSD-ED LNS:SEC 1 LIENS PA DU 90 MOR	CLSD-ED LNS:SEC JR LIENS PA DU 30-89	CLSD-ED LNS:SEC JR LIENS PA DU 90 MO	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	ADDITIONS TO NONACCRUAL ASSETS	N/ACCRUAL ASSETS SOLD DURING QUARTER	LSE INDVDL FOR HSHLD, FMLY, PRSNL 30	LSE INDVDL FOR HSHLD, FMLY, PRSNL > 	LSE INDVDL FOR HSHLD, FMLY, PRSNL NA	1-4  FAM RES CNSTRCTN LN PD 31-89 DA	OTHER CNSTRCTN LN PAST DUE 31-89 DAY	1-4  FAM RES CNSTRCTN LN PD > 90 DAY	OTHER CNSTRCTN LN PAST DUE > 90 DAYS	1-4  FAM RES CNSTRCTN LN NONACCRUAL	OTHER CNSTRCTN LN NONACCRUAL	LN SCRD BY OWNR OCCPD NFARM NRES 30-	LN SECURED BY OTHR NFARM NONRES PRPR	LN SCRD BY OWNR OCCPD NFARM NRES > 9	LN SCRD BY OTHR NFARM NRES PRPRTY > 	LN SCRD BY OWNR OCCPD NFARM NRES NON	LN SCRD BY OTHR NFARM NRES PRPRTY NA	RSTRCTD LN SCD 1-4 RES PD 30 - 89	RSTRCTD LN SCD 1-4 RES PD 90 DAYS	RSTRCTD LN SCD 1-4 RES NONACCRUAL	FR VLU LN HLD FOR SALE PD 30 - 89	FR VLU LN HLD FOR SALE PD 90	FR VLU LN HLD FOR SALE NONACCRUAL	UNPD BAL LN HLD FOR SALE PD 30 - 89	UNPD BAL LN HLD FOR SALE PD 90	UNPD BAL LN HLD FOR SALE NONACCRUAL	LN GUAR US , EXCLUD FDIC PD 30 - 89	LN GUAR US , EXCLUD FDIC PD 90	LN GUAR US , EXCLUD FDIC NACRL	GUAR LN EXCL REBOOK GNMA LN PD 30 - 	GUAR LN EXCL REBOOK GNMA LN PD 90	GUAR LN EXCL REBOOK GNMA LN NACRL	REBOOK GNMA LN REPURCH PD 30 - 89	REBOOK GNMA LN REPURCH PD 90	REBOOK GNMA LN REPURCH NACRL	LS SHR FDIC 1-4 FAM RES PD 30 - 89	LS SHR FDIC 1-4 FAM RES PD 90	LS SHR FDIC 1-4 FAM RES NACRL	LS SHR FDIC OTHR CNSTRTN LN PD 30 - 	
37																																																																																																																																																		0	0	0										38	0	0	0	3	0	42	0	0	0	0	0						0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	129	0	810	171	0	0	0	0	0	0				0	41	0	0	0	43	127	0	257	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
242																																																																																																																																																		0	0	0							0	0	0	113	0	21	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	147	17	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
279																																																																																																																																																		0	0	0										48	6	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	187	37	1973	0	0	0	0	0	105	0				792	0	0	0	0	37	3	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
354																																																																																																																																																		0	0	0							0	0	0	26	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	50	13	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
457																																																																																																																																																		0	0	0							0	0	0	0	0	12	121	0	312	0	0	0	0	0	0						0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	83	0	0	0	0	0	0	9	0				0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
505																																																																																																																																																		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1664	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2142	11	838	285	0	0	0	0	1082	0	0	0	0	0	0	0	0	229	0	0	356	0	0	0	1638	0	0	54	0	0	0	0	0	0	213	0	0	160	0	0	0	0	0	0	0	0	0	
1155																																																																																																																																																		0	0	0							0	17	0	199	0	340	46	0	0	186	0	0	0	0	0						0	0	0	0	0	0	56	37	0	0	0	0	14	0	0	0	0	0	0	140	24	592	0	32	0	0	0	1447	0				0	0	0	199	0	1063	0	848	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1351																																																																																																																																																		0	0	0							30	6	0	362	0	1720	357	0	105	0	0	0	0	0	0						0	0	0	0	0	0	6	0	30	0	0	0	0	0	0	0	0	0	0	287	0	522	0	0	0	0	0	1021	0				0	0	0	0	0	0	323	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454																																																																																																																																																		0	0	0	0	0	0	0	0	0	0	8	0	241	189	0	23	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	47	0	0	0	51	0	0	0	0	0	224	0	0	0	0	67	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
