"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	Y-T-D MERCH CR CRD SALES VOL:ACQG BK	Y-T-D MERCH CR CRD SALES VL:BK W/RSK	CR DRIVTS:NTNL AMTS-CRD DEFLT SWAPS-	CR DRIVTS:NTNL AMTS-CRD DEFLT SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CRD DERIVTS:NOTL AMTS-CRD OPTIONS-GU	CRD DERIVTS:NOTL AMTS-CRDIT OPTIONS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP MONO FNC GUAR	OTC DRVT CR EXP HEDGE FUNDS	OTC DRVT CR EXP SOVEREIGN GOVT	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD MONO FNC GUAR	OTC FV CSH USD HEDGE FUNDS	OTC FV CSH USD SOVEREIGN GOVT	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR MONO FNC GUAR	OTC FV CSH OTHR CUR HEDGE FUNDS	OTC FV CSH OTHR CUR SOVEREIGN GOVT	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY MONO FNC GUAR	OTC FV US TREAS SCTY HEDGE FUNDS	OTC FV US TREAS SCTY SOVEREIGN GOVT	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV USGOV AGCY BK & SCTY FIRM	OTC FV USGOV AGCY MONO FNC GUAR	OTC FV USGOV AGCY HEDGE FUNDS	OTC FV USGOV AGCY SOVEREIGN GOVT	OTC FV USGOV AGCY CORP OTHR CNTRPRTY	OTC FV CORP BONDS BK & SCTY FIRM	OTC FV CORP BONDS MONO FNC GUAR	OTC FV CORP BONDS HEDGE FUNDS	OTC FV CORP BONDS SOVEREIGN GOVT	OTC FV CORP BONDS CORP OTHR CNTRPRTY	OTC FV EQUITY SCTY BK & SCTY FIRM	OTC FV EQUITY SCTY MONO FNC GUAR	OTC FV EQUITY SCTY HEDGE FUNDS	OTC FV EQUITY SCTY SOVEREIGN GOVT	OTC FV EQUITY SCTY CORP OTHR CNTRPRT	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL MONO FNC GUAR	OTC FV OTHR CLTRL HEDGE FUNDS	OTC FV OTHR CLTRL SOVEREIGN GOVT	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL MONO FNC GUAR	OTC FV TOTAL FV CLTRL HEDGE FUNDS	OTC FV TOTAL FV CLTRL SOVEREIGN GOVT	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	UNUSED CMTMT HECM REVERSE MTG	UNUSED CMTMT PROPRIETARY REVERSE MTG	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0										0	245																																																																	38	0	2525										
242	0	0										13	675																																																																	0	0	2889										
279	0	0	0	0	0	0	0	0	0	0	0	2750	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																830	0	2232										
354	0	0										0	0																																																																	35	0	119										
457	0	0										178	0																																																																	1091	0	3061										
505	0	0										12050	33006																																																															0	0	10168	0	11549										
1155	0	0										3100	8471																																																																	14853	0	8708										
1351	0	0										430	0																																																																	2430	0	1425										
1454	0	0										188	3397																																																															0	0	11494	0	14798										
